Chat ID,Title,Logged Msg Count,Actual Msg Count,Filesize (bytes),Canvas Used,Log Classification,Actual Folder,Matched Filename,Anomalies
23,Opening Overseas Bank Account From Australia,14,14,14725,False,SHORT,Short,023_Opening Overseas Bank Account From Australia.txt,
24,ISP Website Access Issues Diagnosis,6,6,9303,False,SHORT,Short,024_ISP Website Access Issues Diagnosis.txt,
25,External Drive Needs Formatting,8,8,6788,False,SHORT,Short,025_External Drive Needs Formatting.txt,
26,Meeting Wendy and Dora,8,8,1797,False,SHORT,Short,026_Meeting Wendy and Dora.txt,
27,"Shed Door Design: Construction, Mechanism, Safety",4,4,2523,True,SHORT,Short,"027_Shed Door Design Construction, Mechanism, Safety.txt",
28,Designing a Pulley Door System,20,20,19599,False,LONG,Long,028_Designing a Pulley Door System.txt,
29,Best Free YouTube Downloaders Explained,2,2,4593,False,SHORT,Short,029_Best Free YouTube Downloaders Explained.txt,
30,ytui,20,164,409533,False,LONG,Long,030_ytui.txt,
31,JDownloader Downloads YouTube Videos,2,2,1752,False,SHORT,Short,031_JDownloader Downloads YouTube Videos.txt,
32,Skip Bins,20,144,132932,False,LONG,Long,032_Skip Bins.txt,
33,Ezra's Greeting to Dora,4,4,355,False,SHORT,Short,033_Ezra's Greeting to Dora.txt,
34,yt-GUI Flash,20,374,257623,False,LONG,Long,034_yt-GUI Flash.txt,
35,TV and Soundbar Preferences,20,20,21158,False,LONG,Long,035_TV and Soundbar Preferences.txt,
36,Global and US News Headlines,2,2,510,False,SHORT,Short,036_Global and US News Headlines.txt,
37,Add Pricing Estimate to Summary,4,4,2234,False,SHORT,Short,037_Add Pricing Estimate to Summary.txt,
38,Add Sound Bars and Supplier Contacts,4,4,4894,False,SHORT,Short,038_Add Sound Bars and Supplier Contacts.txt,
39,55-Inch TV Technology and Price Comparison,6,16,16792,True,SHORT,Short,039_55-Inch TV Technology and Price Comparison.txt,
40,Sound Bar Compatibility Inquiry,N/A,6,3279,N/A,N/A,Short,040_Sound Bar Compatibility Inquiry.txt,ORPHAN_FILE: File found on disk but not in analysis log.
41,Technology Motto Options and Variations,2,2,1801,False,SHORT,Short,041_Technology Motto Options and Variations.txt,
42,Bambu Lab 3D Printer Australian Pricing,4,4,6183,False,SHORT,Short,042_Bambu Lab 3D Printer Australian Pricing.txt,
43,Overseas Email and Roaming Advice,4,4,5866,False,SHORT,Short,043_Overseas Email and Roaming Advice.txt,
44,Interpreting Ambiguous Diary Prompt,2,2,1319,False,SHORT,Short,044_Interpreting Ambiguous Diary Prompt.txt,
45,LibreOffice Draw House Plan Scaling,20,200,285124,False,LONG,Long,045_LibreOffice Draw House Plan Scaling.txt,
46,LibreOffice Draw House Plan Scale,10,10,6107,False,SHORT,Short,046_LibreOffice Draw House Plan Scale.txt,
47,Upward-Acting Door Systems Research Plan,6,6,8578,False,SHORT,Short,047_Upward-Acting Door Systems Research Plan.txt,
48,Tilt-A-Door System Suggestions,20,122,145140,False,LONG,Long,048_Tilt-A-Door System Suggestions.txt,
49,Setting Up Git and GitHub on Windows,18,18,21228,False,LONG,Long,049_Setting Up Git and GitHub on Windows.txt,
50,Make GitHub Project Private,2,2,1752,False,SHORT,Short,050_Make GitHub Project Private.txt,
51,Restore Explorer Single-Click and Checkboxes,18,18,18786,False,LONG,Long,051_Restore Explorer Single-Click and Checkboxes.txt,
52,Installing GUI and DLP,10,10,5829,False,SHORT,Short,052_Installing GUI and DLP.txt,
53,Downloading YouTube Videos: Reliable Methods,8,8,8635,False,SHORT,Short,053_Downloading YouTube Videos Reliable Methods.txt,
54,Troubleshooting Windows Boot Hang,2,2,2590,False,SHORT,Short,054_Troubleshooting Windows Boot Hang.txt,
55,Troubleshooting Intermittent Windows Reboots,20,24,32957,False,LONG,Long,055_Troubleshooting Intermittent Windows Reboots.txt,
56,Australian Research Projects Seeking Subjects,6,6,3283,True,SHORT,Short,056_Australian Research Projects Seeking Subjects.txt,
57,Gut-Brain Axis Research Plan,6,6,8421,False,SHORT,Short,057_Gut-Brain Axis Research Plan.txt,
58,Fecal Transplants: A Gut Reset,4,4,6502,False,SHORT,Short,058_Fecal Transplants A Gut Reset.txt,
59,Fecal Transplants and Dora's Commands,10,10,3721,False,SHORT,Short,059_Fecal Transplants and Dora's Commands.txt,
60,Windows 10 PIN Login Issue,20,206,177243,False,LONG,Long,060_Windows 10 PIN Login Issue.txt,
61,Microphone Not Working,20,44,26121,False,LONG,Long,061_Microphone Not Working.txt,
62,Setting Up Deep Research Agent,4,4,3030,False,SHORT,Short,062_Setting Up Deep Research Agent.txt,
63,OSD Menu Operations for Picture-by-Picture,6,6,5034,False,SHORT,Short,063_OSD Menu Operations for Picture-by-Picture.txt,
64,Monitor Research and Comparison Plan,N/A,6,3385,N/A,N/A,Short,064_Monitor Research and Comparison Plan.txt,ORPHAN_FILE: File found on disk but not in analysis log.
65,LibreOffice Calc Backup Locations macOS,10,10,8777,False,SHORT,Short,065_LibreOffice Calc Backup Locations macOS.txt,
66,Python Dictionary Comprehension Example,10,5,961,False,SHORT,Short,066_Python Dictionary Comprehension Example.txt,
67,Cancel YouTube Channel Membership Guide,12,6,1219,False,SHORT,Short,067_Cancel YouTube Channel Membership Guide.txt,
68,Company Name Date Phrasing,2,2,707,False,SHORT,Short,068_Company Name Date Phrasing.txt,
69,Logo Design: Initial Discussion Begins,20,20,14796,False,LONG,Long,069_Logo Design Initial Discussion Begins.txt,
70,Printer Driver Error Resolution Guide,6,6,7115,False,SHORT,Short,070_Printer Driver Error Resolution Guide.txt,
71,Rapoo Mouse Driver Troubleshooting Guide,20,30,21192,True,LONG,Long,071_Rapoo Mouse Driver Troubleshooting Guide.txt,
72,"AI Workstation Build: ""The Core""",10,10,13126,False,SHORT,Short,072_AI Workstation Build The Core.txt,
73,Cloud Quota Errors,18,18,12596,False,LONG,Long,073_Cloud Quota Errors.txt,
74,Cannabis Use and Financial Issues,2,2,592,False,SHORT,Short,074_Cannabis Use and Financial Issues.txt,
75,AI Research Project Plan Proposal,10,10,89973,False,SHORT,Short,075_AI Research Project Plan Proposal.txt,
76,AI Model Landscape Summary Table,16,16,23035,False,SHORT,Short,076_AI Model Landscape Summary Table.txt,
77,Samsung A53 Pattern Unlock Issue,8,8,8572,False,SHORT,Short,077_Samsung A53 Pattern Unlock Issue.txt,
78,Voice Clone Sample Text Guidance,8,8,18394,False,SHORT,Short,078_Voice Clone Sample Text Guidance.txt,
79,Projects in google docs,20,22,46584,False,LONG,Long,079_Projects in google docs.txt,
80,Web Scraping Pricelist Automation Guide,20,260,429478,True,LONG,Long,080_Web Scraping Pricelist Automation Guide.txt,
81,AI Workstation deep research,4,4,2627,True,SHORT,Short,081_AI Workstation deep research.txt,
82,GPU Market Sentiment Analysis JSON,4,4,5155,False,SHORT,Short,082_GPU Market Sentiment Analysis JSON.txt,
83,Dora Initialized: Commands Listed,4,4,1775,False,SHORT,Short,083_Dora Initialized Commands Listed.txt,
84,Immortality's Data and Power,4,4,1616,False,SHORT,Short,084_Immortality's Data and Power.txt,
85,RAV4 Prices in Western Australia,4,4,2040,True,SHORT,Short,085_RAV4 Prices in Western Australia.txt,
86,Dora Test,10,10,3465,False,SHORT,Short,086_Dora Test.txt,
87,Yahoo Email Attachment Instructions Summary,2,2,2528,False,SHORT,Short,087_Yahoo Email Attachment Instructions Summary.txt,
88,Monitor Recommendations for AI/Gaming Machine,N/A,2,5632,N/A,N/A,Short,088_Monitor Recommendations for AIGaming Machine.txt,ORPHAN_FILE: File found on disk but not in analysis log.
89,Gemini Chats from takeout & history,20,86,155613,False,LONG,Long,089_Gemini Chats from takeout & history.txt,
90,Gemini Chat Export Solutions Explored,20,286,448498,False,LONG,Long,090_Gemini Chat Export Solutions Explored.txt,
91,Setting an Alarm for 5:45 PM,6,6,430,False,SHORT,Short,091_Setting an Alarm for 545 PM.txt,
92,Shopping Lists and Items Listed,2,2,1404,False,SHORT,Short,092_Shopping Lists and Items Listed.txt,
93,Apple Mail PDF Attachment Issues,2,2,4021,False,SHORT,Short,093_Apple Mail PDF Attachment Issues.txt,
94,Windows Input Lag Troubleshooting Guide,8,8,15714,False,SHORT,Short,094_Windows Input Lag Troubleshooting Guide.txt,
95,Wine Bottle Punt: Purpose and Depth,2,2,3331,False,SHORT,Short,095_Wine Bottle Punt Purpose and Depth.txt,
96,Pixel 8a Charger Options Explained,6,6,7889,False,SHORT,Short,096_Pixel 8a Charger Options Explained.txt,
97,AI Journey: From Curiosity to Partnership,12,12,74642,False,SHORT,Short,097_AI Journey From Curiosity to Partnership.txt,
98,Theory Brainstorming Session Begins,20,34,36699,True,LONG,Long,098_Theory Brainstorming Session Begins.txt,
99,Exporting Vertex AI Assistant Prompts,2,2,2858,False,SHORT,Short,099_Exporting Vertex AI Assistant Prompts.txt,
100,Israel-Syria Animosity Explained in Detail,20,360,347114,False,LONG,Long,100_Israel-Syria Animosity Explained in Detail.txt,
101,Immortal Protocol Fidelity Test Ready,2,2,611,False,SHORT,Short,101_Immortal Protocol Fidelity Test Ready.txt,
102,"Dora Initialized, All Set",2,2,200,False,SHORT,Short,"102_Dora Initialized, All Set.txt",
103,Time and Location Check,2,2,336,False,SHORT,Short,103_Time and Location Check.txt,
104,Electric Tricycle Startup Troubleshooting,12,4,4691,True,SHORT,Short,104_Electric Tricycle Startup Troubleshooting.txt,
105,"Dora, Ship's Computer Online",N/A,12,13581,N/A,N/A,Short,"105_Dora, Ship's Computer Online.txt",ORPHAN_FILE: File found on disk but not in analysis log.
106,Mac Photo Migration and Cleanup Plan,20,20,71094,False,LONG,Long,106_Mac Photo Migration and Cleanup Plan.txt,
107,Mac Password Removal Risks,20,22,87681,True,LONG,Long,107_Mac Password Removal Risks.txt,
108,Digital Typewriter Setup Guidance Needed,6,28,45945,False,SHORT,Short,108_Digital Typewriter Setup Guidance Needed.txt,
109,Dora's System Overview for Simon,N/A,6,6488,N/A,N/A,Short,109_Dora's System Overview for Simon.txt,ORPHAN_FILE: File found on disk but not in analysis log.
110,Pixel 8 Pro AI Model Feasibility,6,6,4509,True,SHORT,Short,110_Pixel 8 Pro AI Model Feasibility.txt,
111,Pixel 8 Pro Idea Discussion,12,12,23985,False,SHORT,Short,111_Pixel 8 Pro Idea Discussion.txt,
112,"""Martyred"" vs. ""Killed"" in Gaza",4,4,8384,False,SHORT,Short,112_Martyred vs. Killed in Gaza.txt,
113,Back for More Assistance?,20,34,5590,False,LONG,Long,113_Back for More Assistance.txt,
114,Fluoxetine: Uses and Side Effects,20,42,9700,False,LONG,Long,114_Fluoxetine Uses and Side Effects.txt,
115,Google AI Studio Chat History Export,2,2,7315,False,SHORT,Short,115_Google AI Studio Chat History Export.txt,
116,Alarm Set for 10:30 AM,6,6,726,False,SHORT,Short,116_Alarm Set for 1030 AM.txt,
117,Add PowerShell Admin Context Menu,12,12,6053,False,SHORT,Short,117_Add PowerShell Admin Context Menu.txt,
118,"Using the character in the uploaded image as a reference, create a character model sheet. On a clean white background, draw the same character with a ...",16,16,2141,False,SHORT,Short,"118_Using the character in the uploaded image as a reference, create a character model sheet. On a clean white background, draw the same character with a .txt",
119,Dora's Operational Status Check,2,2,833,False,SHORT,Short,119_Dora's Operational Status Check.txt,
120,"A whimsical and detailed tech cartoon. In the center is a slightly old, tired-looking desktop computer that is visibly sweating and straining under pr...",4,4,594,False,SHORT,Short,"120_A whimsical and detailed tech cartoon. In the center is a slightly old, tired-looking desktop computer that is visibly sweating and straining under pr.txt",
121,Shopping List Assistance Available,6,6,891,False,SHORT,Short,121_Shopping List Assistance Available.txt,
122,Memorial Appointment Scheduled,2,2,422,False,SHORT,Short,122_Memorial Appointment Scheduled.txt,
123,dora on the phone,16,16,4869,False,SHORT,Short,123_dora on the phone.txt,
124,Setting Do Not Disturb Times,4,4,730,False,SHORT,Short,124_Setting Do Not Disturb Times.txt,
125,Alarm Set for Ten Minutes,6,6,3001,False,SHORT,Short,125_Alarm Set for Ten Minutes.txt,
126,AI Studio Autosave Spinner Issue,2,2,1919,False,SHORT,Short,126_AI Studio Autosave Spinner Issue.txt,
127,E-Trike Helmet Research Needed,4,4,2208,True,SHORT,Short,127_E-Trike Helmet Research Needed.txt,
128,Cone Spanner Explained: Function and Use,6,4,3060,False,SHORT,Short,128_Cone Spanner Explained Function and Use.txt,
129,Bicycle and E-bike Spanner Sizes,N/A,6,9525,N/A,N/A,Short,129_Bicycle and E-bike Spanner Sizes.txt,ORPHAN_FILE: File found on disk but not in analysis log.
130,PowerShell Tree Command Explained,6,6,3963,False,SHORT,Short,130_PowerShell Tree Command Explained.txt,
131,Grapefruit and Medication Interactions,6,6,7214,False,SHORT,Short,131_Grapefruit and Medication Interactions.txt,
132,Global Dried Meat Varieties Report,2,2,5898,False,SHORT,Short,132_Global Dried Meat Varieties Report.txt,
133,Map Folding Report Generation Plan,4,4,679,True,SHORT,Short,133_Map Folding Report Generation Plan.txt,
134,Map Folding Techniques Explained,4,4,5772,False,SHORT,Short,134_Map Folding Techniques Explained.txt,
135,Windows 10 Expertise Requested.,20,22,18409,False,LONG,Long,135_Windows 10 Expertise Requested..txt,
136,Naming a Silicon-Based Friend,2,2,2937,False,SHORT,Short,136_Naming a Silicon-Based Friend.txt,
137,Greeting and Assistance Offered,2,2,209,False,SHORT,Short,137_Greeting and Assistance Offered.txt,
138,what's the weather in Denmark tomorrow,8,8,2658,False,SHORT,Short,138_what's the weather in Denmark tomorrow.txt,
139,Android Troubleshooting Prompt Template Creation,14,14,22892,False,SHORT,Short,139_Android Troubleshooting Prompt Template Creation.txt,
140,Add Admin CMD to Explorer,18,18,16783,False,LONG,Long,140_Add Admin CMD to Explorer.txt,
141,Dora's Chat Index Overview,20,20,23708,True,LONG,Long,141_Dora's Chat Index Overview.txt,
142,"another logit chat, Dora",20,36,11050,True,LONG,Long,"142_another logit chat, Dora.txt",
143,Dora's voice,4,4,4012,False,SHORT,Short,143_Dora's voice.txt,
144,Deep Dive from pdf psych,2,2,357,False,SHORT,Short,144_Deep Dive from pdf psych.txt,
145,Weird - wrong paste,2,2,865,False,SHORT,Short,145_Weird - wrong paste.txt,
146,Logit - another attempt,18,18,5409,False,LONG,Long,146_Logit - another attempt.txt,
147,Netanyahu's Rhetoric: Dog Whistling Analysis,2,2,3846,False,SHORT,Short,147_Netanyahu's Rhetoric Dog Whistling Analysis.txt,
148,Dora in Heinlein's Lazarus Long,14,14,11015,False,SHORT,Short,148_Dora in Heinlein's Lazarus Long.txt,
149,Failed logit - too complex,12,12,5993,False,SHORT,Short,149_Failed logit - too complex.txt,
150,Persona Interactions,8,8,9347,False,SHORT,Short,150_Persona Interactions.txt,
151,Saved info discussion,4,4,1203,False,SHORT,Short,151_Saved info discussion.txt,
152,Reading a shared link - fail,20,76,47273,False,LONG,Long,152_Reading a shared link - fail.txt,
153,Log Generation !,14,14,19101,False,SHORT,Short,153_Log Generation !.txt,
154,Gina Dog Care Advice,4,4,3700,False,SHORT,Short,154_Gina Dog Care Advice.txt,
155,Thailand Image Editing,12,12,16628,False,SHORT,Short,155_Thailand Image Editing.txt,
156,Find Windows Screensaver Image Source,4,4,8129,False,SHORT,Short,156_Find Windows Screensaver Image Source.txt,
157,Image AI Options,6,6,16899,False,SHORT,Short,157_Image AI Options.txt,
158,Virtualising win 10,6,6,12311,False,SHORT,Short,158_Virtualising win 10.txt,
159,AI Lab Build: Initial Planning,20,20,24583,True,LONG,Long,159_AI Lab Build Initial Planning.txt,
160,HTML for Prompt Saving,2,2,3028,True,SHORT,Short,160_HTML for Prompt Saving.txt,
161,Always be confident - i this good advice,20,4,4800,False,LONG,Long,161_Always be confident - i this good advice.txt,
162,AFL Round 16 Fixtures and Bye,N/A,26,16162,N/A,N/A,Long,162_AFL Round 16 Fixtures and Bye.txt,ORPHAN_FILE: File found on disk but not in analysis log.
163,AFL Round 16 Fixtures Table,20,24,7818,True,LONG,Long,163_AFL Round 16 Fixtures Table.txt,
164,E-Bike for Health and Shopping,6,6,15662,False,SHORT,Short,164_E-Bike for Health and Shopping.txt,
165,Web-Based Text Editor Creation,20,78,33973,False,LONG,Long,165_Web-Based Text Editor Creation.txt,
166,Chat Catcher App Reconstruction Prompt,2,2,80385,False,SHORT,Short,166_Chat Catcher App Reconstruction Prompt.txt,
167,Self-Writing Pen: Types Explained,2,2,2614,False,SHORT,Short,167_Self-Writing Pen Types Explained.txt,
168,Google Drive Folder Prioritization Methods,2,2,2850,False,SHORT,Short,168_Google Drive Folder Prioritization Methods.txt,
169,The Mole: A Chemist's Dozen,8,8,10414,False,SHORT,Short,169_The Mole A Chemist's Dozen.txt,
170,AI Model Identification Inquiry,20,30,19550,True,LONG,Long,170_AI Model Identification Inquiry.txt,
171,Project Kickoff and Version History,2,2,888,False,SHORT,Short,171_Project Kickoff and Version History.txt,
172,Project Kick-off Prompt Generator,4,4,4058,True,SHORT,Short,172_Project Kick-off Prompt Generator.txt,
173,AFL Odds Tool HTML Code,20,42,33361,True,LONG,Long,173_AFL Odds Tool HTML Code.txt,
174,AFL Odds Table Generator,12,12,3462,True,SHORT,Short,174_AFL Odds Table Generator.txt,
175,AFL Bookmaker Website Recommendations,20,26,19616,True,LONG,Long,175_AFL Bookmaker Website Recommendations.txt,
176,AFL Tipping Data and Strategy,20,74,59060,False,LONG,Long,176_AFL Tipping Data and Strategy.txt,
177,Gemini API Key Location Guide,2,2,1905,False,SHORT,Short,177_Gemini API Key Location Guide.txt,
178,Conversation History and Memory Limitations,20,30,18425,False,LONG,Long,178_Conversation History and Memory Limitations.txt,
179,Webpage Summary Request Accepted,20,20,17759,False,LONG,Long,179_Webpage Summary Request Accepted.txt,
180,Closing an Account Gracefully,2,2,1272,False,SHORT,Short,180_Closing an Account Gracefully.txt,
181,HTML Table Conversion Request,20,24,12027,False,LONG,Long,181_HTML Table Conversion Request.txt,
182,can you create a picture of john cleese acting as an angry salesman,4,4,690,False,SHORT,Short,182_can you create a picture of john cleese acting as an angry salesman.txt,
183,Justifying Genocide Is Never Acceptable,2,2,1266,False,SHORT,Short,183_Justifying Genocide Is Never Acceptable.txt,
184,Measles Vaccine Safety Explained,10,10,19351,False,SHORT,Short,184_Measles Vaccine Safety Explained.txt,
185,"""Woke"" Meaning and Usage Explained",4,4,3077,False,SHORT,Short,185_Woke Meaning and Usage Explained.txt,
186,Netanyahu's Nine Bombs: Symbolism Explored,2,2,4123,False,SHORT,Short,186_Netanyahu's Nine Bombs Symbolism Explored.txt,
187,"Netanyahu's ""Nine"" and Jewish Symbolism",2,2,4200,False,SHORT,Short,187_Netanyahu's Nine and Jewish Symbolism.txt,
188,Angry King Cartoon Image Request,2,2,922,True,SHORT,Short,188_Angry King Cartoon Image Request.txt,
189,You are an expert web developer assistant. Your task is to re-create a web application based on the specifications and code provided below. The goal i...,20,22,89937,False,LONG,Long,189_You are an expert web developer assistant. Your task is to re-create a web application based on the specifications and code provided below. The goal i.txt,
190,"Prompt for Generating an Emotional ""Face Frame"" Goal: To generate a single comic-style panel, which we'll call a ""face frame,"" that clearly depicts a ...",10,10,3680,True,SHORT,Short,"190_Prompt for Generating an Emotional Face Frame Goal To generate a single comic-style panel, which we'll call a face frame, that clearly depicts a ....txt",
191,Cartoon Facial Features for Emotions,20,22,7537,True,LONG,Long,191_Cartoon Facial Features for Emotions.txt,
192,MCP in AI: Two Concepts,2,2,3467,False,SHORT,Short,192_MCP in AI Two Concepts.txt,
193,RAG vs. CAG: Key Differences,20,24,42657,False,LONG,Long,193_RAG vs. CAG Key Differences.txt,
194,Saving Digital Chats as Documents,20,26,39278,False,LONG,Long,194_Saving Digital Chats as Documents.txt,
195,Peanuts Cartoon Creation Request,6,6,695,False,SHORT,Short,195_Peanuts Cartoon Creation Request.txt,
196,Peanuts AI Cartoon Revision Request,4,4,1834,True,SHORT,Short,196_Peanuts AI Cartoon Revision Request.txt,
197,Vintage Paris Postcard Image Creation,20,38,16725,False,LONG,Long,197_Vintage Paris Postcard Image Creation.txt,
198,Image Analysis Not Supported,20,32,2240,False,LONG,Long,198_Image Analysis Not Supported.txt,
199,Dora AI Project v4.8 Guide,4,4,1545,True,SHORT,Short,199_Dora AI Project v4.8 Guide.txt,
200,Dora AI Guide Generation,6,6,22166,False,SHORT,Short,200_Dora AI Guide Generation.txt,
201,Photo Editing Assistance Denied,4,4,871,False,SHORT,Short,201_Photo Editing Assistance Denied.txt,
202,"i would like to use a photograph I took in holidays and see it in deiffernt forms. As an oil painting, a watercolour, a charcoal or pencil sketch. The...",10,10,1145,False,SHORT,Short,"202_i would like to use a photograph I took in holidays and see it in deiffernt forms. As an oil painting, a watercolour, a charcoal or pencil sketch. The.txt",
203,Using Microphone for Voice Input,14,14,15820,False,SHORT,Short,203_Using Microphone for Voice Input.txt,
204,AI Psychologist Advice Request,8,8,14229,False,SHORT,Short,204_AI Psychologist Advice Request.txt,
205,Dora,20,270,145789,False,LONG,Long,205_Dora.txt,
206,Gemini Chat Transcript Guide,2,2,3814,False,SHORT,Short,206_Gemini Chat Transcript Guide.txt,
207,PyPika Wheel Build Explained in Colab,4,4,5784,False,SHORT,Short,207_PyPika Wheel Build Explained in Colab.txt,
208,Gemini 2.5 Pro Token Credit Inquiry,2,2,2904,False,SHORT,Short,208_Gemini 2.5 Pro Token Credit Inquiry.txt,
209,failed start new chat,4,4,18566,False,SHORT,Short,209_failed start new chat.txt,
210,King's Match Game Clarification Needed,18,18,45160,False,LONG,Long,210_King's Match Game Clarification Needed.txt,
211,Sci-Fi Movie Recommendations (2004-2021),2,8,11167,False,SHORT,Short,211_Sci-Fi Movie Recommendations (2004-2021).txt,
212,"""Bingo Card"" Explained in Slang",N/A,2,2768,N/A,N/A,Short,212_Bingo Card Explained in Slang.txt,ORPHAN_FILE: File found on disk but not in analysis log.
213,Building a Local AI Assistant,2,2,13604,False,SHORT,Short,213_Building a Local AI Assistant.txt,
214,Voice-Annotated Photo App Recommendations,6,22,43335,False,SHORT,Short,214_Voice-Annotated Photo App Recommendations.txt,
215,Brain Organoids in Biocomputing Research,N/A,2,3014,N/A,N/A,Short,215_Brain Organoids in Biocomputing Research.txt,ORPHAN_FILE: File found on disk but not in analysis log.
216,US Dollar Index Explained,N/A,6,13347,N/A,N/A,Short,216_US Dollar Index Explained.txt,ORPHAN_FILE: File found on disk but not in analysis log.
217,Russia: From Ally to Adversary,2,2,5599,False,SHORT,Short,217_Russia From Ally to Adversary.txt,
218,Search History Summary Provided,2,2,2301,False,SHORT,Short,218_Search History Summary Provided.txt,
219,Movie Recommendation Request Discussion,10,10,4970,False,SHORT,Short,219_Movie Recommendation Request Discussion.txt,
220,Microsoft Scam Call Warning,2,2,2191,False,SHORT,Short,220_Microsoft Scam Call Warning.txt,
221,Vaccines and Autism: No Link,2,2,512,False,SHORT,Short,221_Vaccines and Autism No Link.txt,
222,Request for Specificity Clarification,2,2,502,False,SHORT,Short,222_Request for Specificity Clarification.txt,
223,Slow Cooking Beef Guide,6,6,5065,False,SHORT,Short,223_Slow Cooking Beef Guide.txt,
224,Glass Stovetop Shattered: Causes and Prevention,4,4,7402,False,SHORT,Short,224_Glass Stovetop Shattered Causes and Prevention.txt,
225,AI Model Performance Over Time,10,10,65498,False,SHORT,Short,225_AI Model Performance Over Time.txt,
226,Spreadsheet Design for Property Management,20,28,65263,False,LONG,Long,226_Spreadsheet Design for Property Management.txt,
227,Spreadsheet Software Development Advice,6,6,28228,False,SHORT,Short,227_Spreadsheet Software Development Advice.txt,
228,Project Development: Initial Inquiry,6,6,10745,False,SHORT,Short,228_Project Development Initial Inquiry.txt,
229,Dora Development,8,8,2863,False,SHORT,Short,229_Dora Development.txt,
230,Alarm Set for 9:46 PM,8,8,4266,False,SHORT,Short,230_Alarm Set for 946 PM.txt,
231,Cloud AI Experimentation Setup Options,6,6,18203,False,SHORT,Short,231_Cloud AI Experimentation Setup Options.txt,
232,Kaleidoscope Design with p5.js Code,2,1,234,True,SHORT,Short,232_Kaleidoscope Design with p5.js Code.txt,
233,Atom Joke and Punchline,6,6,681,False,SHORT,Short,233_Atom Joke and Punchline.txt,
234,The Sleeping Giant's Awakening,2,2,3346,False,SHORT,Short,234_The Sleeping Giant's Awakening.txt,
235,what's the weather in Denmark tomorrow,6,6,3139,False,SHORT,Short,235_what's the weather in Denmark tomorrow.txt,
236,Sarcasm Request: A Delightful Task,2,2,608,False,SHORT,Short,236_Sarcasm Request A Delightful Task.txt,
237,"Defining ""Woke"": Origin and Evolution",14,14,7240,False,SHORT,Short,237_Defining Woke Origin and Evolution.txt,
238,Setting an Alarm Time,4,4,3425,False,SHORT,Short,238_Setting an Alarm Time.txt,
239,Alarm Set for 1:45 PM,4,4,310,False,SHORT,Short,239_Alarm Set for 145 PM.txt,
240,Google Assistant Activation Response,2,2,246,False,SHORT,Short,240_Google Assistant Activation Response.txt,
241,Michael Scaramucci's Biography Overview,20,38,50615,False,LONG,Long,241_Michael Scaramucci's Biography Overview.txt,
242,Paris Is France's Capital,4,4,346,False,SHORT,Short,242_Paris Is France's Capital.txt,
243,F1 Undercut Strategy Explained,2,2,3082,False,SHORT,Short,243_F1 Undercut Strategy Explained.txt,
244,AI Model Inference System Analysis,8,8,26549,False,SHORT,Short,244_AI Model Inference System Analysis.txt,
245,F1 2026 Rule Changes Explained,2,2,5502,False,SHORT,Short,245_F1 2026 Rule Changes Explained.txt,
